Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link,Discount
14791631733,168Pcs Kids Super Mega Art Coloring Set Crayons Oil Pastels Color Pencils For Drawing,₱165 ,102.8K,Kiddos Zone,5.50%,₱9.08 ,https://shopee.ph/product/418000555/14791631733,https://s.shopee.ph/gByJ3sPCN,48%
28808638644,Cartoon Pencil Set with Cute Erasers Rubber Head Pencils Diverse Lapis for Kids School Supplies,₱60 ,11.2K,CozyCare ,15.50%,₱9.30 ,https://shopee.ph/product/659537410/28808638644,https://s.shopee.ph/VsY6kt2XM,65%
18268412270,【on hand】 Scientific Calculator CASIO Fx-991ES plus Solar portable rechargeable calculator,₱345 ,44K,Lin Davis,17.50%,₱60.38 ,https://shopee.ph/product/545041918/18268412270,https://s.shopee.ph/LZ7uRtfsL,71%
23487185895,Watercolor Brush Pen Colors Marker Pens Painting Drawing Art Supplies Dual Tip Brush Pen,₱69 ,18.3K,Lucky-Stationery,12%,₱8.28 ,https://shopee.ph/product/868932870/23487185895,https://s.shopee.ph/BFhi8uJDK,55%
28761613992,Deli 12Pcs SA130 Press Ballpen 0.35mm Black Quick-Drying  Gel Pen School Stationery Office Supplies,₱168 ,13.9K,Deli Official Global Store,9.50%,₱15.96 ,https://shopee.ph/product/827008463/28761613992,https://s.shopee.ph/wHVpuwYJ,61%
19849058136,Mitsushi Heavy Duty Staple Gunt And Staple Gun Set,₱170 ,56.3K,Mitsushi by BWT Dealer Store,7.50%,₱12.75 ,https://shopee.ph/product/57321494/19849058136,https://s.shopee.ph/2VdcUQlQTo,40%
20393323651,1box/12pcs Pencil (#2 Medium) school supplies Stationary Stuent Pencils,₱36 ,193.6K,Albeeshop,11.50%,₱4.14 ,https://shopee.ph/product/30310170/20393323651,https://s.shopee.ph/2LKCI7m3on,28%
24622515389,13-Layer Handle Folder Long File Organizer Expanding File Folder Portable Folder Bag With Handle,₱67 ,11.8K,Halo oook,12%,₱8.04 ,https://shopee.ph/product/1202331757/24622515389,https://s.shopee.ph/2B0m5omh9m,54%
1871922357,Hard Copy Bond Paper 70gsm (Short/A4/Long) 500Sheets,₱204 ,280.1K,Shopdian Office Supplies,3.50%,₱7.14 ,https://shopee.ph/product/120575205/1871922357,https://s.shopee.ph/20hLtVnKUl,25%
25437028571,Deli A122 12Pcs Press Gel Pen 0.35mm Quick-Drying Black Writing Ballpen For School Office Supplies,₱108 ,20K,Deli Stationery ,8.50%,₱9.18 ,https://shopee.ph/product/822453082/25437028571,https://s.shopee.ph/1qNvhCnxpk,76%